2, 0, 0
-7.32, -19.54, -110.54
-5.48, -19.54, -105.67
1.99, -19.54, -84.18
5.1, -19.54, -75.37
8.12, -19.54, -67.43
9.35, -18.89, -63.67
4.83, -9.24, -62.4
1.99, -6.4, -72.73
-3.6, -8.43, -113.12
-6.02, -11.27, -118.11
-8.7, -16.71, -117.5
-8.2, -19.54, -112.77
-4.98, -19.54, -104.3
-1.03, -19.54, -93.02
3.18, -19.54, -80.76
6.63, -19.54, -71.26
9.01, -19.54, -65.25
8.7, -14.64, -59.28
5.67, -8.43, -56.08
2.68, -6.44, -67.41001
-1.23, -5.67, -102.24
-5.33, -7.17, -126.63
-6.74, -10.88, -121.78
-9.62, -16.86, -119.71
-9.2, -18.05, -117.01
-15.25, -19.05, -128.68
-0.88, -19.54, -92.58
0.73, -18.59, -87.75001
2.22, -19.54, -83.52
6.63, -12.76, -62.54
7.86, -14.79, -62.01
6.55, -7.36, -48.33
9.01, -4.41, -26.08
6.63, -0.46, -3.97
5.33, 1.95, 20.1
4.79, 3.87, 38.94
-2.64, 6.36, 112.54
-0.04, 4.41, 90.52
-4.33, 3.87, 138.21
-4.68, 3.95, 139.84
-8.01, -0.11, -179.21
-10.61, -2.61, -166.18
-10.84, -4.06, -159.47
-2.03, -13.11, -98.8
-3.91, -16.25, -103.53
-1.23, -18.01, -93.91001
-1.69, -19.54, -94.94
9.81, -17.28, -60.42
5.36, -19.54, -74.66001
6.17, -17.05, -70.11
10.38, -10.15, -44.36
6.36, -7.51, -49.74
9.73, -0.61, -3.59
3.49, 0.84, 13.53
0.0, 1.72, 90.0
-3.33, 3.45, 133.99
-6.09, 0.57, 174.65
-7.2, -5.86, -140.86
-9.39, -8.32, -138.46
-7.2, -15.63, -114.73
-5.82, -19.54, -106.59
-2.3, -19.2, -96.83001
-1.0, -19.39, -92.95
2.91, -19.54, -81.53
5.82, -9.54, -58.61
6.48, -12.99, -63.49
9.24, -8.93, -44.02
6.25, -1.72, -15.39
2.99, -3.33, -48.08
2.57, -3.87, -56.41
0.8, 0.46, 29.9
-3.1, 0.8, 165.53
-4.06, -4.29, -133.42
-7.7, -4.64, -148.93
-8.24, -8.35, -134.62
