2, 0, 0
6.74, 6.51, 44.01
4.45, 8.01, 60.95
3.14, 7.93, 68.4
0.15, 8.58, 89.00001
-0.61, 7.86, 94.44
-5.94, 6.78, 131.22
-12.68, -7.97, -147.85
-10.88, 4.56, 157.26
-6.59, -1.23, -169.43
-5.59, -11.88, -115.2
-5.59, -14.68, -110.85
2.99, -11.8, -75.78
4.22, -13.8, -73.0
7.7, -7.43, -43.98
6.94, -10.04, -55.35
10.46, 1.42, 7.73
17.44, -8.66, -26.41
0.61, 3.3, 79.53
12.03, 8.89, 36.46
-8.01, 3.99, 153.52
-1.46, 7.2, 101.46
-8.93, 5.4, 148.84
-9.08, -5.56, -148.52
-6.97, -14.56, -115.58
-1.95, -12.91, -98.59
4.22, -15.4, -74.68
1.84, -12.68, -81.74
6.05, -9.43, -57.32
8.62, -11.96, -54.22
10.46, -9.04, -40.84
11.07, -3.87, -19.27
6.13, 0.77, 7.16
2.38, 3.41, 55.09
-0.34, 1.84, 100.47
-6.48, -1.99, -162.93
-7.05, -3.91, -150.99
-8.16, -8.81, -132.81
-6.25, -12.95, -115.76
-2.15, -17.13, -97.15
1.84, -16.25, -83.54
5.36, -16.25, -71.75
8.12, -11.65, -55.12
10.77, -7.51, -34.89
9.62, -5.71, -30.69
7.89, -0.23, -1.67
5.94, 0.46, 4.43
9.04, 3.45, 20.89
-0.57, 1.07, 118.04
-6.05, -4.1, -145.88
-7.86, -4.37, -150.93
-6.28, -13.72, -114.59
-6.36, -15.44, -112.39
2.18, -14.75, -81.58999
5.67, -16.4, -70.93
9.96, -16.36, -58.67
9.43, -10.0, -46.68
11.23, -4.52, -21.92
6.97, -0.34, -2.79
5.06, 2.95, 30.24
-10.81, -0.54, -177.14
-2.57, 1.72, 146.21
-4.91, -10.84, -114.37
-11.11, -17.28, -122.74
-1.99, -18.59, -96.11
6.13, -18.01, -71.2
10.92, -17.09, -57.42
9.16, -12.99, -54.81
9.43, -3.6, -20.89
4.33, 0.38, 5.02
1.07, 2.8, 69.09
-6.36, -6.74, -133.34
-9.54, -8.55, -138.13
-10.31, -11.38, -132.18
-2.15, -16.55, -97.40001
6.78, -16.71, -67.92
0.69, -19.54, -87.98
4.87, -10.81, -65.75
17.32, -15.86, -42.48
5.9, -5.13, -41.01
8.39, -5.98, -35.48
-7.66, -3.87, -153.2
5.06, -9.73, -62.52
0.88, 1.88, 64.92
-3.22, -16.32, -101.16
-3.33, -17.7, -100.65
10.15, -14.94, -55.81
6.4, -16.86, -69.21
9.12, -8.85, -44.14
11.84, -7.82, -33.44
-0.8, -1.76, -114.44
0.5, 1.03, 64.11
5.79, 11.53, 63.34
-14.26, -8.62, -148.85
-6.51, -6.21, -136.35
-9.73, -14.26, -124.31
-7.09, -15.67, -114.34
-3.72, -17.63, -101.91
3.56, -14.29, -76.01
9.73, -10.81, -48.01
